"CRASH_CRN","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","HOUR_OF_DAY","LOCATION_TYPE","MAX_SEVERITY_LEVEL","LONGITUDE","LATITUDE","SPEED_LIMIT","severity","carLane","bikeLane","streetLength","car.reverse","bike.reverse","foot"
2004004844,2004,4,3,99,0,3,-79.968,40.5325,30,"serious",0,5,111.394508362,0,5,1
2004004909,2004,4,7,13,0,0,-79.9062,40.3856,25,"slight",0,5,662.396118164,0,5,1
2004016283,2004,4,5,15,0,3,-80.0246,40.4087,25,"serious",0,5,993.741943359,0,5,1
2004016780,2004,5,5,19,0,2,-79.903,40.4091,35,"serious",1,2,523.535827637,1,2,1
2004019276,2004,1,3,23,0,1,-79.9481,40.4187,25,"fatal",0,5,993.741943359,0,5,1
2004057303,2004,7,2,20,0,3,-79.9871,40.2833,25,"serious",0,5,993.741943359,0,5,1
2004078102,2004,9,2,10,0,4,-79.7848,40.4507,25,"slight",2,2,1647.33813477,2,2,1
2004083039,2004,10,7,10,0,4,-79.9714,40.5368,30,"slight",0,5,111.394508362,0,5,1
2004087780,2004,11,7,13,0,3,-79.9198,40.2572,25,"serious",0,5,993.741943359,0,5,1
2004094883,2004,7,4,22,0,8,-80,40.4775,25,"unknown",1,2,245.41317749,1,2,1
2004101503,2004,6,6,23,0,4,-79.9864,40.4288,25,"slight",0,5,993.741943359,0,5,1
2004102006,2004,3,7,,0,3,-79.8657,40.4633,40,"serious",2,2,1647.33813477,2,2,1
2004103155,2004,6,3,18,0,3,-79.892,40.4688,25,"serious",2,2,1647.33813477,2,2,1
2004206653,2004,5,7,20,0,3,-79.7157,40.6388,45,"serious",2,2,1647.33813477,2,2,1
2004210180,2004,7,2,12,0,4,-80.1094,40.3586,25,"slight",0,5,993.741943359,0,5,1
2004211478,2004,8,6,16,0,0,-80.0477,40.3396,25,"slight",0,5,993.741943359,0,5,1
2004211600,2004,8,3,19,0,4,-79.8795,40.3946,35,"slight",2,2,1647.33813477,2,2,1
2004214015,2004,9,2,18,0,4,-79.8536,40.3698,25,"slight",2,2,1647.33813477,2,2,1
2004215069,2004,10,5,17,0,9,-80.0366,40.3917,20,"unknown",0,5,993.741943359,0,5,1
2004215125,2004,10,4,13,0,2,-80.0203,40.3687,25,"serious",0,5,993.741943359,0,5,1
2004217041,2004,8,7,12,0,4,-79.9716,40.478,25,"slight",0,5,111.394508362,0,5,1
2004220032,2004,9,6,1,0,4,-79.9791,40.4287,25,"slight",0,5,993.741943359,0,5,1
2005004583,2004,6,1,9,0,8,-80.0191,40.5895,35,"unknown",0,5,111.394508362,0,5,1
2005005692,2004,5,5,17,0,4,-79.9623,40.4686,35,"slight",0,5,111.394508362,0,5,1
2005009464,2004,8,3,21,0,8,-80.0216,40.3949,25,"unknown",0,5,993.741943359,0,5,1
2005010749,2004,8,1,16,0,3,-79.9632,40.4541,25,"serious",1,2,245.41317749,1,2,1
2005013683,2004,8,4,20,0,4,-80.0708,40.4582,25,"slight",1,2,245.41317749,1,2,1
2005014169,2004,6,2,13,0,4,-80.0884,40.3944,25,"slight",0,5,993.741943359,0,5,1
2005015413,2004,6,7,15,0,4,-79.9912,40.5744,35,"slight",0,5,111.394508362,0,5,1
2005021499,2004,11,7,17,0,3,-79.9629,40.4357,35,"serious",0,5,993.741943359,0,5,1
2005027724,2004,8,4,19,0,3,-79.9164,40.4677,25,"serious",1,2,664.280395508,1,2,1
2005027725,2004,8,5,17,0,3,-79.9512,40.4652,25,"serious",0,5,111.394508362,0,5,1
2005028225,2004,8,2,18,0,8,-80.0208,40.3885,25,"unknown",0,5,993.741943359,0,5,1
2005029789,2004,12,4,11,0,3,-79.8373,40.4865,35,"serious",2,2,1647.33813477,2,2,1
2005031388,2004,7,6,15,0,3,-80.0348,40.4409,25,"serious",0,5,993.741943359,0,5,1
2005038490,2004,5,4,20,0,3,-79.8453,40.3389,25,"serious",2,2,1647.33813477,2,2,1
2005038741,2004,10,7,12,0,3,-79.8921,40.4337,25,"serious",2,2,1647.33813477,2,2,1
2005039141,2004,4,3,8,0,3,-80.0039,40.4414,25,"serious",0,5,993.741943359,0,5,1
2005040209,2004,4,2,18,0,3,-79.8904,40.4255,15,"serious",2,2,1647.33813477,2,2,1
2005042330,2004,11,1,16,0,4,-79.9365,40.4329,25,"slight",0,5,993.741943359,0,5,1
2005045161,2004,4,3,17,0,3,-79.9246,40.4716,25,"serious",1,2,664.280395508,1,2,1
2005049362,2004,3,4,15,0,4,-79.9285,40.5645,35,"slight",1,2,664.280395508,1,2,1
2005052114,2004,4,6,16,0,4,-79.8474,40.3388,25,"slight",2,2,1647.33813477,2,2,1
2005052478,2004,9,1,10,0,8,-79.9265,40.4859,25,"unknown",1,2,664.280395508,1,2,1
2005053066,2004,7,3,17,0,4,-80.0268,40.4681,25,"slight",1,2,245.41317749,1,2,1
2005054578,2004,9,7,11,99,3,-79.9902,40.409,,"serious",0,5,993.741943359,0,5,1
2005054909,2004,6,3,18,0,8,-79.976,40.4368,25,"unknown",0,5,993.741943359,0,5,1
2005054911,2004,6,3,20,0,4,-79.968,40.4497,25,"slight",1,2,245.41317749,1,2,1
2005058005,2004,8,2,8,0,4,-79.9516,40.4803,25,"slight",0,5,111.394508362,0,5,1
2005058049,2004,9,2,17,0,8,-79.8875,40.4524,,"unknown",2,2,1647.33813477,2,2,1
2005058291,2004,8,3,19,0,4,-79.8221,40.4751,30,"slight",2,2,1647.33813477,2,2,1
2005059281,2004,8,1,21,0,4,-79.9054,40.49,15,"slight",1,2,664.280395508,1,2,1
2005059616,2004,8,4,18,0,8,-80.1673,40.5153,15,"unknown",1,2,245.41317749,1,2,1
2005068324,2004,6,4,18,0,8,-80.0078,40.4559,25,"unknown",1,2,245.41317749,1,2,1
2005097072,2004,4,3,17,0,8,-79.9649,40.4404,25,"unknown",1,2,245.41317749,1,2,1
2006087789,2004,10,6,20,0,2,-79.9696,40.476,45,"serious",0,5,111.394508362,0,5,1
2005039271,2005,1,7,20,0,8,-79.92630005,40.4715004,25,"unknown",1,2,664.280395508,1,2,1
2005091853,2005,2,2,14,0,3,-80.00090027,40.43669891,25,"serious",0,5,993.741943359,0,5,1
2005105107,2005,4,2,7,0,4,-80.00610352,40.31539917,25,"slight",0,5,993.741943359,0,5,1
2005117583,2005,5,3,18,0,4,-80.04489899,40.42300034,25,"slight",0,5,993.741943359,0,5,1
2005120050,2005,5,4,20,0,4,-79.90630341,40.45410156,,"slight",2,2,1647.33813477,2,2,1
2005121239,2005,6,3,99,0,2,-79.96499634,40.53239822,30,"serious",0,5,111.394508362,0,5,1
2005125136,2005,4,2,17,0,4,-79.93599701,40.4530983,25,"slight",1,2,104.475166321,1,2,1
2005128021,2005,6,7,12,0,3,-79.98480225,40.39619827,25,"serious",0,5,993.741943359,0,5,1
2005130240,2005,6,7,19,0,3,-79.98870087,40.41669846,25,"serious",0,5,993.741943359,0,5,1
2005133905,2005,7,5,18,0,8,-79.97019958,40.39080048,25,"unknown",0,5,993.741943359,0,5,1
2005134128,2005,4,6,15,0,4,-80.05079651,40.45349884,,"slight",1,2,245.41317749,1,2,1
2005134406,2005,5,6,16,0,8,-79.84079742,40.50260162,25,"unknown",2,2,1647.33813477,2,2,1
2005137051,2005,4,3,19,0,4,-79.89109802,40.45320129,25,"slight",2,2,1647.33813477,2,2,1
2005137281,2005,5,2,13,0,3,-79.92440033,40.50009918,25,"serious",1,2,664.280395508,1,2,1
2005137370,2005,6,5,20,0,8,-80.04000092,40.44340134,25,"unknown",0,5,993.741943359,0,5,1
2005137388,2005,6,4,17,0,4,-79.89040375,40.45500183,25,"slight",2,2,1647.33813477,2,2,1
2005137389,2005,6,5,16,0,4,-79.92949677,40.46099854,25,"slight",1,2,664.280395508,1,2,1
2005137454,2005,5,5,9,0,9,-79.95670319,40.4654007,25,"unknown",0,5,111.394508362,0,5,1
2005142328,2005,6,3,12,0,3,-80.01830292,40.46210098,25,"serious",1,2,245.41317749,1,2,1
2005143816,2005,4,3,7,0,8,-79.91670227,40.43799973,35,"unknown",2,2,1647.33813477,2,2,1
2005144929,2005,5,7,20,0,3,-79.98750305,40.33060074,25,"serious",0,5,993.741943359,0,5,1
2005145294,2005,4,4,20,0,3,-79.9878006,40.41260147,25,"serious",0,5,993.741943359,0,5,1
2005147749,2005,6,7,9,0,4,-79.92289734,40.43600082,25,"slight",1,2,523.535827637,1,2,1
2005154884,2005,7,3,14,0,4,-79.89550018,40.48730087,35,"slight",2,2,1647.33813477,2,2,1
2005155855,2005,6,1,21,0,2,-80.0381012,40.58200073,45,"serious",0,5,111.394508362,0,5,1
2005156022,2005,7,5,18,0,4,-80.06900024,40.37030029,25,"slight",0,5,993.741943359,0,5,1
2005156516,2005,8,4,8,0,1,-79.95140076,40.58980179,35,"fatal",1,2,664.280395508,1,2,1
2005157984,2005,7,1,14,0,8,-79.98709869,40.41989899,25,"unknown",0,5,993.741943359,0,5,1
2005161181,2005,7,4,7,0,3,-79.98760223,40.33050156,25,"serious",0,5,993.741943359,0,5,1
2005162454,2005,7,6,13,0,8,-79.87719727,40.40810013,25,"unknown",2,2,1647.33813477,2,2,1
2005166986,2005,8,4,18,0,3,-79.95829773,40.47539902,25,"serious",0,5,111.394508362,0,5,1
2005173783,2005,8,3,13,0,4,-80.00959778,40.42350006,25,"slight",0,5,993.741943359,0,5,1
2005175743,2005,9,2,18,0,3,-79.89129639,40.55310059,25,"serious",1,2,664.280395508,1,2,1
2005181344,2005,8,6,14,0,8,-80.02970123,40.45539856,35,"unknown",1,2,245.41317749,1,2,1
2005181842,2005,9,1,9,0,4,-80.06359863,40.332901,25,"slight",0,5,993.741943359,0,5,1
2005181846,2005,9,5,8,0,4,-80.07910156,40.41279984,35,"slight",0,5,993.741943359,0,5,1
2005183778,2005,9,4,17,0,4,-79.97170258,40.44810104,25,"slight",1,2,245.41317749,1,2,1
2005184407,2005,9,4,16,0,4,-79.91609955,40.43799973,25,"slight",2,2,1647.33813477,2,2,1
2005184692,2005,9,4,18,0,8,-80.05930328,40.39089966,35,"unknown",0,5,993.741943359,0,5,1
2005186864,2005,8,2,17,2,4,-79.91149902,40.49309921,35,"slight",1,2,664.280395508,1,2,1
2005186978,2005,9,5,19,0,8,-79.98429871,40.41199875,25,"unknown",0,5,993.741943359,0,5,1
2005187023,2005,9,2,14,0,4,-80.00559998,40.4382019,25,"slight",0,5,993.741943359,0,5,1
2005192455,2005,8,7,16,0,8,-79.94809723,40.59059906,40,"unknown",1,2,664.280395508,1,2,1
2005192465,2005,10,4,9,0,4,-79.92179871,40.58160019,35,"slight",1,2,664.280395508,1,2,1
2005194508,2005,8,7,16,0,4,-79.94490051,40.46680069,25,"slight",0,5,111.394508362,0,5,1
2005194524,2005,9,5,19,0,8,-79.95850372,40.47320175,25,"unknown",0,5,111.394508362,0,5,1
2005198411,2005,9,6,14,0,4,-79.7990036,40.47729874,,"slight",2,2,1647.33813477,2,2,1
2005203069,2005,4,2,13,0,4,-80.03769684,40.40159988,20,"slight",0,5,993.741943359,0,5,1
2005205083,2005,5,7,13,0,4,-79.84899902,40.36529922,25,"slight",2,2,1647.33813477,2,2,1
2005401101,2005,10,1,16,0,4,-80.00370026,40.44839859,25,"slight",1,2,245.41317749,1,2,1
2005403756,2005,10,7,1,0,0,-79.89019775,40.32740021,25,"slight",0,5,662.396118164,0,5,1
2005403817,2005,6,5,13,0,4,-80.19239807,40.55179977,25,"slight",1,2,245.41317749,1,2,1
2005411590,2005,11,1,20,0,8,-79.94180298,40.44440079,25,"unknown",0,5,36.1182327271,0,5,1
2005416311,2005,11,2,18,0,3,-80.24469757,40.44800186,30,"serious",0,5,993.741943359,0,5,1
2012029959,2005,8,7,16,0,8,-79.94799805,40.59109879,40,"unknown",1,2,664.280395508,1,2,1
2006015513,2006,1,4,12,0,8,-79.99729919,40.43880081,20,"unknown",0,5,993.741943359,0,5,1
2006017140,2006,1,7,8,0,8,-79.96800232,40.4272995,25,"unknown",0,5,993.741943359,0,5,1
2006017469,2006,1,6,11,0,4,-79.99729919,40.45569992,25,"slight",1,2,245.41317749,1,2,1
2006018144,2006,1,4,18,0,3,-79.89959717,40.46450043,25,"serious",2,2,1647.33813477,2,2,1
2006019494,2006,1,3,8,0,3,-79.9260025,40.44400024,25,"serious",1,2,664.280395508,1,2,1
2006026353,2006,2,7,17,0,4,-79.97730255,40.38359833,35,"slight",0,5,993.741943359,0,5,1
2006031516,2006,3,5,18,0,3,-79.93560028,40.44049835,25,"serious",4,2,179.841949463,4,2,1
2006033561,2006,3,3,15,0,4,-80.02449799,40.42290115,25,"slight",0,5,993.741943359,0,5,1
2006038703,2006,4,2,15,0,8,-80.00610352,40.31539917,25,"unknown",0,5,993.741943359,0,5,1
2006043787,2006,5,6,17,0,4,-80.0970993,40.4054985,25,"slight",0,5,993.741943359,0,5,1
2006046753,2006,4,3,16,0,8,-80.00229645,40.44869995,,"unknown",1,2,245.41317749,1,2,1
2006046760,2006,4,4,17,0,8,-79.95379639,40.42589951,25,"unknown",0,5,993.741943359,0,5,1
2006049845,2006,5,1,9,0,4,-79.92710114,40.46979904,,"slight",1,2,664.280395508,1,2,1
2006050882,2006,5,7,16,0,8,-79.92099762,40.60950089,35,"unknown",1,2,664.280395508,1,2,1
2006053679,2006,5,2,20,0,3,-80.04450226,40.45750046,35,"serious",1,2,245.41317749,1,2,1
2006056977,2006,6,5,17,0,4,-79.84889984,40.4341011,20,"slight",2,2,1647.33813477,2,2,1
2006057383,2006,5,1,20,0,4,-79.92690277,40.47180176,35,"slight",1,2,664.280395508,1,2,1
2006059085,2006,5,7,9,0,4,-79.87770081,40.48860168,35,"slight",2,2,1647.33813477,2,2,1
2006062044,2006,6,5,17,0,4,-80.00520325,40.41799927,25,"slight",0,5,993.741943359,0,5,1
2006062595,2006,6,2,13,0,8,-79.90399933,40.45800018,25,"unknown",2,2,1647.33813477,2,2,1
2006065484,2006,6,3,14,0,4,-79.84870148,40.34740067,,"slight",2,2,1647.33813477,2,2,1
2006066249,2006,6,2,14,0,8,-80.01679993,40.45660019,25,"unknown",1,2,245.41317749,1,2,1
2006066731,2006,6,3,7,0,4,-79.95909882,40.47240067,25,"slight",0,5,111.394508362,0,5,1
2006067286,2006,6,6,19,0,4,-80.14070129,40.6242981,40,"slight",0,5,111.394508362,0,5,1
2006068247,2006,6,7,17,0,4,-80.0109024,40.28570175,25,"slight",0,5,993.741943359,0,5,1
2006068862,2006,7,7,15,0,8,-79.9598999,40.59230042,35,"unknown",1,2,664.280395508,1,2,1
2006069636,2006,6,4,11,0,8,-79.99269867,40.45320129,,"unknown",1,2,245.41317749,1,2,1
2006072431,2006,7,6,19,0,8,-80.02760315,40.40579987,,"unknown",0,5,993.741943359,0,5,1
2006073079,2006,6,5,11,0,2,-79.89559937,40.45619965,25,"serious",2,2,1647.33813477,2,2,1
2006073199,2006,5,3,17,0,4,-79.84359741,40.5141983,25,"slight",2,2,1647.33813477,2,2,1
2006074471,2006,7,5,16,0,4,-80.05690002,40.49629974,25,"slight",1,2,245.41317749,1,2,1
2006074736,2006,7,4,19,0,8,-79.89099884,40.45890045,,"unknown",2,2,1647.33813477,2,2,1
2006075154,2006,7,1,15,0,4,-80.23370361,40.45470047,35,"slight",0,5,993.741943359,0,5,1
2006077210,2006,7,7,6,0,1,-80.06639862,40.46549988,25,"fatal",1,2,245.41317749,1,2,1
2006077423,2006,7,2,14,0,3,-79.87660217,40.44079971,25,"serious",2,2,1647.33813477,2,2,1
2006078305,2006,7,6,16,0,3,-80.20709991,40.38669968,35,"serious",0,5,993.741943359,0,5,1
2006079125,2006,7,2,21,0,3,-79.99890137,40.41999817,25,"serious",0,5,993.741943359,0,5,1
2006079369,2006,7,2,8,0,3,-79.90579987,40.45069885,35,"serious",2,2,1647.33813477,2,2,1
2006080602,2006,7,3,18,0,3,-80.06289673,40.5821991,35,"serious",0,5,111.394508362,0,5,1
2006087953,2006,8,5,22,0,8,-80.05950165,40.45399857,25,"unknown",1,2,245.41317749,1,2,1
2006090251,2006,8,2,15,0,3,-79.95400238,40.44739914,25,"serious",1,2,245.41317749,1,2,1
2006093012,2006,8,5,20,0,4,-79.98390198,40.38729858,25,"slight",0,5,993.741943359,0,5,1
2006093340,2006,8,4,18,0,2,-80.02639771,40.29059982,25,"serious",0,5,993.741943359,0,5,1
2006093747,2006,9,7,11,0,8,-79.83989716,40.53900146,30,"unknown",2,2,1647.33813477,2,2,1
2006096691,2006,9,6,18,7,3,-80.01830292,40.54840088,40,"serious",0,5,111.394508362,0,5,1
2006098076,2006,9,5,13,0,8,-79.94499969,40.45050049,25,"unknown",0,5,111.394508362,0,5,1
2006099326,2006,9,4,17,0,4,-79.90509796,40.56309891,15,"slight",1,2,664.280395508,1,2,1
2006105420,2006,10,5,11,0,4,-80.0381012,40.58200073,35,"slight",0,5,111.394508362,0,5,1
2006106424,2006,10,1,16,0,8,-79.9477005,40.44800186,25,"unknown",0,5,111.394508362,0,5,1
2006107887,2006,10,2,18,0,3,-79.96620178,40.43659973,25,"serious",0,5,993.741943359,0,5,1
2006108968,2006,10,7,18,0,3,-79.83850098,40.34730148,25,"serious",2,2,1647.33813477,2,2,1
2006109580,2006,10,6,7,0,8,-79.96579742,40.46170044,35,"unknown",0,5,111.394508362,0,5,1
2006113162,2006,10,6,7,0,4,-80.06150055,40.38059998,15,"slight",0,5,993.741943359,0,5,1
2006118782,2006,11,4,12,0,8,-79.90850067,40.48490143,35,"unknown",1,2,664.280395508,1,2,1
2006119164,2006,11,6,19,0,4,-79.95020294,40.44400024,25,"slight",1,2,245.41317749,1,2,1
2006119984,2006,11,3,10,0,4,-79.79360199,40.49900055,25,"slight",2,2,1647.33813477,2,2,1
2006121858,2006,11,3,17,0,3,-79.82759857,40.3830986,35,"serious",2,2,1647.33813477,2,2,1
2006127898,2006,11,3,14,0,3,-79.98680115,40.45040131,25,"serious",1,2,245.41317749,1,2,1
2006130135,2006,12,3,18,0,3,-79.9260025,40.44400024,25,"serious",1,2,664.280395508,1,2,1
2006130392,2006,12,6,11,0,3,-79.89920044,40.44960022,25,"serious",2,2,1647.33813477,2,2,1
2006200594,2006,1,3,18,0,4,-79.82369995,40.41659927,25,"slight",2,2,1647.33813477,2,2,1
2006204836,2006,7,7,12,0,4,-79.85350037,40.37929916,30,"slight",2,2,1647.33813477,2,2,1
2006205029,2006,7,3,16,0,4,-79.71240234,40.64089966,25,"slight",2,2,1647.33813477,2,2,1
2006205838,2006,9,6,20,0,3,-80.10389709,40.51210022,40,"serious",1,2,245.41317749,1,2,1
2006208784,2006,12,3,13,0,0,-79.85919952,40.3647995,25,"slight",2,2,1647.33813477,2,2,1
2007000696,2006,12,1,12,0,8,-79.9937973,40.47589874,25,"unknown",1,2,245.41317749,1,2,1
2007001874,2006,12,5,16,0,2,-80.00050354,40.43730164,25,"serious",0,5,993.741943359,0,5,1
2007002423,2006,12,3,16,0,4,-79.93460083,40.44900131,25,"slight",1,2,104.475166321,1,2,1
2007026650,2006,6,5,16,0,4,-80.03140259,40.39550018,25,"slight",0,5,993.741943359,0,5,1
2007007864,2007,1,3,8,0,3,-80.00370026,40.45050049,25,"serious",1,2,245.41317749,1,2,1
2007011613,2007,1,1,14,0,4,-79.88059998,40.29470062,25,"slight",0,5,662.396118164,0,5,1
2007016358,2007,1,1,0,0,3,-79.91940308,40.43799973,25,"serious",1,2,909.977172852,1,2,1
2007026077,2007,2,4,18,0,0,-79.96029663,40.43920135,25,"slight",0,5,993.741943359,0,5,1
2007041612,2007,4,6,6,0,4,-80.02819824,40.35589981,35,"slight",0,5,993.741943359,0,5,1
2007044992,2007,4,3,17,7,3,-79.88749695,40.4333992,25,"serious",2,2,1647.33813477,2,2,1
2007048481,2007,4,1,11,0,4,-79.86299896,40.35020065,,"slight",1,2,523.535827637,1,2,1
2007050418,2007,4,1,11,0,8,-79.93489838,40.4280014,25,"unknown",0,5,662.396118164,0,5,1
2007050489,2007,4,6,15,0,8,-79.89600372,40.45360184,25,"unknown",2,2,1647.33813477,2,2,1
2007050866,2007,4,7,17,0,4,-79.98970032,40.44660187,35,"slight",1,2,245.41317749,1,2,1
2007050875,2007,4,2,20,0,8,-79.89749908,40.46070099,25,"unknown",2,2,1647.33813477,2,2,1
2007052197,2007,5,1,14,0,8,-79.77940369,40.4905014,25,"unknown",2,2,1647.33813477,2,2,1
2007053387,2007,5,1,16,0,4,-80.0089035,40.45249939,25,"slight",1,2,245.41317749,1,2,1
2007054620,2007,5,4,18,0,3,-79.94529724,40.40679932,,"serious",0,5,993.741943359,0,5,1
2007054622,2007,5,5,17,0,8,-79.93009949,40.45059967,25,"unknown",1,2,664.280395508,1,2,1
2007054632,2007,5,1,16,0,4,-79.99720001,40.41640091,25,"slight",0,5,993.741943359,0,5,1
2007055095,2007,5,1,12,0,3,-79.853302,40.46490097,35,"serious",2,2,1647.33813477,2,2,1
2007055439,2007,5,3,20,0,8,-79.96089935,40.45149994,,"unknown",1,2,245.41317749,1,2,1
2007055921,2007,5,5,23,0,4,-79.84269714,40.52600098,25,"slight",2,2,1647.33813477,2,2,1
2007057439,2007,5,7,14,7,3,-79.83000183,40.31480026,40,"serious",2,2,1647.33813477,2,2,1
2007057461,2007,5,7,19,0,4,-79.89520264,40.44710159,25,"slight",2,2,1647.33813477,2,2,1
2007058070,2007,5,1,12,0,4,-79.9036026,40.48949814,35,"slight",1,2,664.280395508,1,2,1
2007060964,2007,5,6,16,0,4,-79.99739838,40.42210007,,"slight",0,5,993.741943359,0,5,1
2007061466,2007,5,2,17,0,2,-80.01010132,40.41690063,25,"serious",0,5,993.741943359,0,5,1
2007063243,2007,5,4,20,0,3,-79.9178009,40.46879959,25,"serious",1,2,664.280395508,1,2,1
2007063567,2007,6,1,11,0,8,-80.02400208,40.62810135,35,"unknown",0,5,111.394508362,0,5,1
2007063708,2007,6,7,16,0,3,-79.9489975,40.4469986,25,"serious",0,5,82.1672821045,0,5,1
2007066004,2007,7,2,8,0,4,-80.00229645,40.44319916,25,"slight",1,2,245.41317749,1,2,1
2007066602,2007,6,6,17,0,3,-79.94989777,40.42570114,25,"serious",0,5,993.741943359,0,5,1
2007066603,2007,6,4,19,0,8,-79.95490265,40.43700027,25,"unknown",0,5,993.741943359,0,5,1
2007066606,2007,6,7,23,0,8,-79.9905014,40.41439819,25,"unknown",0,5,993.741943359,0,5,1
2007066926,2007,6,6,17,0,4,-80.07959747,40.37469864,25,"slight",0,5,993.741943359,0,5,1
2007066948,2007,6,1,16,0,4,-79.90799713,40.45859909,35,"slight",2,2,1647.33813477,2,2,1
2007067537,2007,6,1,15,0,4,-80.07099915,40.44599915,25,"slight",1,2,245.41317749,1,2,1
2007068079,2007,6,1,16,0,4,-80.18430328,40.4571991,,"slight",1,2,245.41317749,1,2,1
2007072139,2007,6,6,13,0,8,-79.99790192,40.45399857,,"unknown",1,2,245.41317749,1,2,1
