"CRASH_CRN","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","HOUR_OF_DAY","LOCATION_TYPE","MAX_SEVERITY_LEVEL","LONGITUDE","LATITUDE","SPEED_LIMIT","severity","closest","safteyScore","betweenness","carLane","bikeLane","streetLength","car.reverse","bike.reverse","foot","between","edgeBetweenness","saftyScore","lss"
"2004004844","2004","4","3","99","0","3","-79.968","40.5325","30","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.325301204819277","63","0","5","111.394508362","0","5","1","63","63","0.325301204819277","0"
"2004004909","2004","4","7","13","0","0","-79.9062","40.3856","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.40625","18","0","5","662.396118164","0","5","1","18","18","0.40625","2"
"2004016283","2004","4","5","15","0","3","-80.0246","40.4087","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.420195439739414","1","0","5","993.741943359","0","5","1","1","1","0.420195439739414","1"
"2004016780","2004","5","5","19","0","2","-79.903","40.4091","35","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.5","63","1","2","523.535827637","1","2","1","63","63","0.5","1"
"2004078102","2004","9","2","10","0","4","-79.7848","40.4507","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.385416666666667","126","2","2","1647.33813477","2","2","1","126","126","0.385416666666667","2"
"2004094883","2004","7","4","22","0","8","-80","40.4775","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.338235294117647","132","1","2","245.41317749","1","2","1","132","132","0.338235294117647","0"
"2005027724","2004","8","4","19","0","3","-79.9164","40.4677","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.401639344262295","5","1","2","664.280395508","1","2","1","5","5","0.401639344262295","2"
"2005125136","2005","4","2","17","0","4","-79.93599701","40.4530983","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.4","13.8333333333333","1","2","104.475166321","1","2","1","13.8333333333333","13.8333333333333","0.4","2"
"2005411590","2005","11","1","20","0","8","-79.94180298","40.44440079","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","79","0","5","36.1182327271","0","5","1","79","79","0","0"
"2006031516","2006","3","5","18","0","3","-79.93560028","40.44049835","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","1397","4","2","179.841949463","4","2","1","1397","1397","0","0"
"2007016358","2007","1","1","0","0","3","-79.91940308","40.43799973","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.25","115","1","2","909.977172852","1","2","1","115","115","0.25","0"
"2007063708","2007","6","7","16","0","3","-79.9489975","40.4469986","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","58","0","5","82.1672821045","0","5","1","58","58","0","0"
"2007097747","2007","9","5","21","0","2","-79.94049835","40.44419861","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","498","0","5","46.718006134","0","5","1","498","498","0","0"
"2008030497","2008","2","6","18","0","8","-79.94000244","40.44409943","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","924","0","5","2.62749624252","0","5","1","924","924","0","0"
"2008048216","2008","3","4","18","0","4","-79.93070221","40.43780136","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","1","129","4","2","197.007110596","4","2","1","129","129","1","1"
"2008109807","2008","9","3","7","0","4","-79.9464035","40.43870163","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.5","120","2","2","232.316360474","2","2","1","120","120","0.5","1"
"2008119436","2008","8","3","5","0","8","-79.9332962","40.43909836","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","417.666666666666","4","2","112.662239075","4","2","1","417.666666666666","417.666666666666","0","0"
"2009115331","2009","11","2","12","0","8","-79.93720245","40.45339966","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","2","1","2","56.6059608459","1","2","1","2","2","0","0"
"2010051343","2010","5","1","22","0","4","-79.93859863","40.45589828","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0.5","80","1","2","28.911233902","1","2","1","80","80","0.5","1"
"2011048284","2011","5","3","8","0","3","-79.93720245","40.44219971","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","2523","4","2","104.818717957","4","2","1","2523","2523","0","0"
"2011058798","2011","6","4","10","0","4","-79.92739868","40.4292984","25","slight","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","1","30","1","2","38.2318077087","1","2","1","30","30","1","1"
"2013045332","2013","4","3","13","0","8","-79.94219971","40.44049835","20","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","753.166666666667","1","2","7.9903717041","1","2","1","753.166666666667","753.166666666667","0","0"
"2016083706","2016","8","3","11","0","3","-79.9376","40.4426","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","2459","1","2","80.1163330078","1","2","1","2459","2459","0","0"
"2015119084","2015","11","2","8","0","3","-79.94229889","40.44020081","25","serious","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","785","2","2","12.3671216965","2","2","1","785","785","0","0"
"2015127272","2015","12","2","8","0","8","-79.94560242","40.44449997","25","unknown","c(84, 253, 138, 70, 151, 221, 6, 5, 154, 243, 43, 305, 313, 314, 215, 17, 246, 68, 158, 251, 67, 225, 65, 219, 176)","0","56","0","5","29.4298877716","0","5","1","56","56","0","0"
